x,y
14.605464553833011,0
17.10618323683739,0
19.60443555181846,0
22.09288007616997,0
24.599989219068085,0
27.105465652793647,0
29.6,0
32.094534347206356,0
34.60001078093192,0
37.107119923830034,0
39.59556444818155,0
42.093816763162614,0
44.6,-0.0028307437896728516
44.6,-2.507262945175171
44.6,-4.995029924903065
44.6,-7.509515585843474
44.599999999999994,-9.99580403836444
44.599999999999994,-12.509315736126155
44.599999999999994,-15.00847053527832
44.6,-17.497432783420663
44.6,-20.00122317345813
44.6,-22.493008857418317
44.599999999999994,-24.994410709943622
44.6,-27.510008250828832
44.6,-30.001130271703005
44.6,-32.49801638768986
44.6,-35.008792801818345
44.6,-37.49595832824707
44.6,-40.01021647127345
44.60000000000001,-42.49980141748529
44.6,-44.99673305108445
44.6,-47.502894850913435
44.6,-50.00903861178085
44.6,-52.499143761757296
44.6,-55.008331686258316
44.6,-57.49117126688361
44.6,-60.00736978650093
45.09330025911331,-62
47.601975975348616,-62
50.09526293820236,-62
52.59722477130126,-62
55.100580178006204,-62
57.609831614908764,-62
60.10478603690863,-62
62.594331497349785,-62
65.09498363677413,-62
67.60890318583697,-62
70.10206784506735,-62
72.59996981339063,-62
75.10411010626703,-62
77.60311705459898,-62
80.10180924683809,-62
82.60634761620314,-62
85.09296340032014,-62
87.59967193666088,-62
90.10321397464722,-62
92.59564891071349,-62
95.09923308286815,-62
97.6048686791124,-62
100.10283931661397,-62
102.59713563174009,-62
105.10359007348015,-62
107.59288685957435,-62
110.10087275753321,-62
112.60252312421798,-62
115.10394678115844,-62
117.59689699581358,-62
120.10284168159123,-62
122.59263754021376,-62
125.09756878614425,-62
127.59812251329421,-62
128.6,-63.50450940132141
128.6,-66.00467109680176
128.6,-68.5090973675251
128.6,-70.99798810556531
128.6,-73.49528208374977
128.6,-75.99533667564393
128.6,-78.50001858994365
128.6,-80.99792213439943
128.6,-83.49415016174316
126.99699602127075,-84.4
124.491642190516,-84.4
122.00866088867187,-84.4
119.49070596452802,-84.40000000000002
117.00835186094045,-84.4
114.49293901715427,-84.4
112.00430307388304,-84.4
109.49970626436114,-84.4
106.99519785658921,-84.4
104.50084553288761,-84.4
101.99303213602397,-84.40000000000002
99.5007775880309,-84.4
96.99280842419248,-84.40000000000002
94.49453897904604,-84.4
92.00073442459106,-84.40000000000002
89.48957101572304,-84.4
86.99989697269629,-84.4
84.49360804595344,-84.4
81.99399312343449,-84.4
79.49380890130996,-84.4
77.00148808179947,-84.4
74.49616366349218,-84.4
72.00303315366327,-84.4
69.49019100356381,-84.4
67.00011335164308,-84.4
64.50682744979858,-84.4
62.00485429763794,-84.4
59.49656010468024,-84.4
56.99448928833009,-84.4
54.503573815594436,-84.4
51.999195839534515,-84.4
49.4946682367241,-84.4
47.00095898974688,-84.4
44.60000000000001,-84.50327148437502
44.6,-87.00351312812418
44.6,-89.50061501991004
44.60000000000001,-92.0016742795473
44.6,-94.49983562398702
44.60000000000001,-97.00369395732413
44.6,-99.51076568812131
44.60000000000001,-102.0045204764232
44.60000000000001,-104.50508346557618
44.6,-106.99492874145508
44.6,-109.50111778974534
44.6,-112.00503346472979
44.60000000000001,-114.4956441089511
44.6,-116.9969955669716
44.60000000000001,-119.510107421875
46.19798255767673,-120.4
48.7049138262868,-120.4
51.20188513249159,-120.4
53.706529341754496,-120.40000000000002
56.20904922485351,-120.40000000000002
58.695148038328625,-120.40000000000002
61.198430852592,-120.4
63.704363914765416,-120.4
66.20937258154154,-120.4
68.70374989070987,-120.4
71.19780564277025,-120.4
73.70717809165362,-120.4
76.2045158728346,-120.4
78.71016435513738,-120.4
81.19896844399628,-120.4
83.71050887603778,-120.4
86.20496414843947,-120.40000000000002
88.70732610279228,-120.4
91.21051550060511,-120.4
93.7074531033868,-120.4
96.20712795179861,-120.4
98.70199031818484,-120.4
101.19990885636943,-120.4
103.7074272558093,-120.4
106.1989723331848,-120.4
108.69374508189503,-120.4
111.19248039440717,-120.4
113.69240188598633,-120.4
116.19951907519717,-120.4
118.71158853804226,-120.4
121.19248617496342,-120.4
123.70658656561281,-120.4
126.20834241658449,-120.4
128.7040401282953,-120.4
131.204931640625,-120.4
133.4,-120.69971480369568
133.4,-123.20298039093613
133.4,-125.70848731994629
133.4,-128.20298737883567
133.4,-130.69852396324276
133.4,-133.2029038012028
133.4,-135.69711514040827
133.4,-138.19942597970368
133.4,-140.69266238212586
132.99312280640007,-142.8
130.49285581326114,-142.8
128.00623219468397,-142.8
125.49012279665331,-142.8
123.00034654790798,-142.8
120.4885237028706,-142.8
117.990766441077,-142.8
115.5019090953734,-142.8
112.99444266023201,-142.8
110.4941650390625,-142.8
108.00552376682609,-142.8
105.49038852584053,-142.8
102.99884946321836,-142.8
100.50474963387242,-142.8
97.99739097701385,-142.8
95.5047396538881,-142.8
92.99323743255954,-142.8
90.48948445922142,-142.8
87.99950763238448,-142.8
85.49679083827377,-142.80000000000004
82.99657560783817,-142.8
